tweet_id,Timestamp,likes,retweets,replies,hashtag,text
0,2018-10-23,0,0,0,[],Recent piece by our resident artist brittxwhitman !! Britt has some availability in November! Shoot this talented lady an email to get on her schedule!  brittxwhitman@gmail.com… https://www.instagram.com/p/BpSTINcgzxl/?utm_source=ig_twitter_share&igshid=aa0tnumzbeat …
1,2018-10-11,7,1,1,[],This past Tuesday I received the great honor of taking the oath of office in the Waltham City Council Chamber by Justice of the Peace and lifelong Waltham resident Terri Orr. I was… https://www.instagram.com/p/BozJCPPAisS/?utm_source=ig_twitter_share&igshid=14odbj8koormw …
2,2014-04-04,0,0,0,[],"Somerville resident works to open government data in Mass., other states: Adam Friedman, a 32-year-old Somerville... http://dlvr.it/5K57ct "
3,2014-03-27,0,0,0,[],"Tom Brady honors `real heroes' in city of Boston: Patriots quarterback Tom Brady, a longtime resident of Boston's... http://dlvr.it/5FZtV4 "
4,2014-02-11,0,0,0,"['eastie', 'litter']","Resident jokes he's in his ""angry phase"" (about city government) #eastie #litter"
5,2014-10-31,1,2,0,"['wbz', 'wbznewspic']",City resident turns out at Allston library to sign mayor Menino's condolence book. #wbz #wbznewspic.twitter.com/AFlJap9NCp
6,2014-07-20,0,0,0,[],Opened report via iPhone at 159 Salem St http://spot.cx/1n4s7dr . Mom resident. @mayorwalsh needs to step up parking enforcement. out of s...
7,2015-04-09,0,0,0,[],Just in time for Opening Day: Mayor signs ordinance raising fines for parking in resident-only spaces around Fenway… http://boston.cityandpress.com/node/9404575 
8,2015-02-18,0,0,0,[],Braintree mayor apologizes to resident for snow dumping: The mayor of Braintree apologized to a resident after a… http://boston.cityandpress.com/node/9154799 
9,2019-11-07,1,0,0,[],Amit Shah model in UK! Non Resident Indians have turned towards right wing governments around the world. Irony of 21st century. https://twitter.com/sunny_hundal/status/1192571506133471232 …
10,2019-11-05,81,9,1,"['Roxbury', 'vote', 'VoteOnNov5', 'Bospoli', 'mapolipic']","HAPPY ELECTION DAY CITY OF BOSTON! This is my 1st as a #Roxbury resident. Voting for @wutrain, @astguillen, and @Kim_Janey this morning was quick, easy and so much fun. Polls are open until 8pm & LOOK at how SWELL you’ll feel when you #vote! #VoteOnNov5 #Bospoli #mapolipic.twitter.com/V2JkvxJnq9 – at Boys and Girls Club: Yawkey Club of Roxbury"
