prime_award_unique_key,prime_award_piid,prime_award_parent_piid,prime_award_amount,prime_award_base_action_date,prime_award_base_action_date_fiscal_year,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_award_awarding_sub_agency_code,prime_award_awarding_sub_agency_name,prime_award_awarding_office_code,prime_award_awarding_office_name,prime_award_funding_agency_code,prime_award_funding_agency_name,prime_award_funding_sub_agency_code,prime_award_funding_sub_agency_name,prime_award_funding_office_code,prime_award_funding_office_name,prime_award_treasury_accounts_funding_this_award,prime_award_federal_accounts_funding_this_award,prime_awardee_duns,prime_awardee_name,prime_awardee_dba_name,prime_awardee_parent_duns,prime_awardee_parent_name,prime_awardee_country_code,prime_awardee_country_name,prime_awardee_address_line_1,prime_awardee_city_name,prime_awardee_state_code,prime_awardee_state_name,prime_awardee_zip_code,prime_awardee_congressional_district,prime_awardee_foreign_postal_code,prime_awardee_business_types,prime_award_primary_place_of_performance_city_name,prime_award_primary_place_of_performance_state_code,prime_award_primary_place_of_performance_state_name,prime_award_primary_place_of_performance_address_zip_code,prime_award_primary_place_of_performance_congressional_district,prime_award_primary_place_of_performance_country_code,prime_award_primary_place_of_performance_country_name,prime_award_description,prime_award_naics_code,prime_award_naics_description,subaward_type,subaward_report_year,subaward_report_month,subaward_number,subaward_amount,subaward_action_date,subaward_action_date_fiscal_year,subawardee_duns,subawardee_name,subawardee_dba_name,subawardee_parent_duns,subawardee_parent_name,subawardee_country_code,subawardee_country_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_code,subawardee_congressional_district,subawardee_foreign_postal_code,subawardee_business_types,subaward_primary_place_of_performance_address_line_1,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_code,subaward_primary_place_of_performance_congressional_district,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,subawardee_highly_compensated_officer_1_name,subawardee_highly_compensated_officer_1_amount,subawardee_highly_compensated_officer_2_name,subawardee_highly_compensated_officer_2_amount,subawardee_highly_compensated_officer_3_name,subawardee_highly_compensated_officer_3_amount,subawardee_highly_compensated_officer_4_name,subawardee_highly_compensated_officer_4_amount,subawardee_highly_compensated_officer_5_name,subawardee_highly_compensated_officer_5_amount
CONT_AWD_HHSM500201200017C_7530_-NONE-_-NONE-,HHSM500201200017C,,98261240.00,2011-12-09,2012,075,Department of Health and Human Services (HHS),7530,CENTERS FOR MEDICARE AND MEDICAID SERVICES,00500,DEPT OF HHS/CMS,075,Department of Health and Human Services (HHS),7530,CENTERS FOR MEDICARE AND MEDICAID SERVICES,00500,DEPT OF HHS/CMS,,,172851412,HEALTH RESEARCH AND EDUCATIONAL TRUST,HEALTH RESEARCH AND EDUCATIONAL TRUST,051064566,AMERICAN HOSPITAL ASSOCIATION INC,USA,UNITED STATES,155 N WACKER DR STE 400,CHICAGO,IL,,606064425,07,,"Contracts and Grants,Nonprofit Organization",CHICAGO,IL,,606061725,07,USA,UNITED STATES,HOSPITAL ENGAGEMENT CONTRACTOR,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,sub-contract,2012,11,80298-MA,798655.08,2012-05-09,2012,066630302,"MASSACHUSETTS HOSPITAL ASSOCIATION, INC., THE",,066630302,"MASSACHUSETTS HOSPITAL ASSOCIATION, INC., THE",USA,UNITED STATES,5 NEW ENGLAND EXECUTIVE PARK,BURLINGTON,MA,,018035010,06,,"Contracts and Grants,Nonprofit Organization",,Burlington,MA,,018035010,06,USA,UNITED STATES,"The Centers for Medicare & Medicaid Services ( CMS ) awarded Prime Contract No. HHSM-500-2012-00017C to Contractor to implement the Partnership for Patients ( PFP ), a priority project designed to reduce inpatient harm by 40% and readmissions by 20% over a 3 year period.  Contractor, in turn, engaged Subcontractor to perform the tasks and provide the deliverables described below and in support of its requirements under the Prime Contract.  
 
 This Base Period Scope of Work is divided into two phases.  Phase 1 will cover Subcontractor s performance through 04/01/2012.  Phase 2 will cover the remainder of the Base Period.  Details of the Scope of Work for Phase II will be added to this Agreement by written amendment signed by the Parties (the  Phase 2 SOW Amendment ).  A separate Scope of Work will be provided to Subcontractor prior to expiration of the Base Period if Contractor exercises the Option Period.  
 
 The guaranteed funding for Phase 1 of the Subcontractor s effort is a single up front lump sum payment of $50,000 U.S. Dollars, payable within thirty (30) business days of execution of this Agreement.  During Phase 1, Subcontractor will also be eligible for an additional $1,000 U.S. Dollars per committed hospital to be paid by Subcontractor to the hospital to offset the hospital s data collection costs.  A lump sum of these offset payments will be paid to Subcontractor within thirty (30) business days of delivery of the Subcontractor s list of participating hospitals and the commitment letters.  Phase 2 funding will be made available according to a schedule of deliverables and payments as specified in the Phase 2 SOW Amendment.  The Phase 2 not-to-exceed funding is $TBD U.S. Dollars.  Subcontractor is solely responsible for any costs for completion of the Phase 1 and Phase 2 tasks and deliverables in excess of these amounts.  
 
 PHASE 1 TASKS:
 
 1. Distribute  Needs Assessment Survey  (supplied by Contractor in early 01/2012) to participating hospitals no later than 01/2102/24/2012.
 2. Ensure completion rate of at least 85% of participating hospitals.
 3. Analyze With HRET, analyze results of  Needs Assessment Surveys  
 4. Draft work plan and budget for performing Phase II.  Work plan and budget shall cover two time periods (1) remainder of 2012, and (2) calendar 2013.  The total budget shall be less than the Phase 2 not-to-exceed funding amount set out above.  Subcontractor shall consult with Contractor on the proposed plan and budget.  
 5. [__]
 
 PHASE 1 DELIVERABLES:
 
 1. Final Llist of hospitals committed to work with Subcontractor as well as copies of hospital commitment letters.  Due 01/05131/2012.  
 2. Completed  Needs Assessment Survey  results to Contractor.  Due 02/1424/2012.  
 3. Draft work plan and budget for performing Phase II.  Work plan must include an event or improvement activity to be conducted by 04/06/2012.  Due 03/0115/2012. 
 4. Subcontractor is required to provide monthly progress reports that: (1) identify the individuals performing work on behalf of Subcontractor, the hours worked by each such individual during the previous month, and a statement of expenses incurred in performance of the work during the previous month; and (2) discuss the work completed during the previous month.  Due by the fifteenth of the following month (first report due 0304/15/2012 for month of FebruaryMarch).  
 5. Executed amendments to the Agreement adding final Phase II Scope of Work.  Due 04/01/2012.  
 
 PHASE 2 TASKS:
 
 1. TBD
 
 PHASE 2 DELIVERABLES:
 
 1. Subcontractor is required to provide monthly progress reports that: (1) identify the individuals performing work on behalf of Subcontractor, the hours worked by each such individual during the previous month and a statement of expenses incurred in performance of the work during the previous month; (2) include a discussion of effort spent in comparison to the work plan and budget and (3) discuss the work completed during the previous month.  Phase 2 Scope of Work for Base Period
 
 The Centers for Medicare & Medicaid Services ( CMS ) awarded Prime Contract No. HHSM-500-2012-00017C to Contractor to implement the Partnership for Patients ( PFP ), a priority project designed to reduce inpatient harm by 40% and readmissions by 20% over a 3 year period.  Contractor, in turn, engaged Subcontractor to perform the tasks and provide the deliverables described below and in support of its requirements under the Prime Contract.  
 
 Period of Performance:  This Base Period Scope of Work is divided into two phases.  Phase 1 will cover Subcontractor s performance through 05/01/2012.  Phase 2 will cover the remainder of the Base Period.  
 
 Insurance:  During performance of this Agreement, Subcontractor shall maintain the following minimum levels of insurance:  Workers Compensation (as required by applicable law); Automobile Liability ($200,000 U.S. Dollars per person and $500,000 U.S. Dollars per occurrence); and (Overall 
 Liability (with aggregate general or umbrella policies of at least $2,000,000 U.S. Dollars per occurrence).  
 
 Funding for Phase 2:  The guaranteed funding for Phase 2 of the Subcontractor s effort consists of 21 equal monthly payments of U.S. Dollars.  Contractor will strive to pay proper invoices within thirty (30) days of receipt by Contractor, and payments will be made via Contractor s EFT/ACH payment process.  Subcontractor shall provide all the necessary EFT/ACH payment information upon the request of Contractor.  Subcontractor will also receive an additional $1,000 U.S. Dollars per committed hospital to be paid by Subcontractor to the hospital to offset the hospital s data collection costs.  A lump sum of these offset payments will be paid to Subcontractor within thirty (30) business days of this signed amendment
 
 This is a firm fixed price agreement.  Subcontractor is required to perform all of the obligations contained in this Agreement at the aforementioned price.  No additional amounts will be paid unless specifically agreed to in writing by Contractor.  
 
 Pre-existing Subcontractor Intellectual Property:  The Parties acknowledge that Subcontractor is entering into this Agreement with pre-existing Intellectual Property Rights.
 
 
 
 Phase 2:
 
 1. The attached work plan represents the aims and work to be carried out by the subcontractor to achieve the project goals.
 2. Subcontractor is required to provide a monthly invoice that: (1) identify the individuals performing work on behalf of Subcontractor, the hours worked by each such individual during the previous month and a statement of expenses incurred in performance of the work during the previous month; (2) include a discussion of effort spent in comparison to the work plan and budget and (3) discuss the work completed during the previous month.  Due by the fifth of the following month.  First report is due May 5, 2012.  Additional information should be included in the monthly report.  The monthly report format may change if CMS requests additional or different information on the monthly report.  An example monthly report template is attached.
 3. Consistent flow of data in from the Subcontractor s hospitals of at least 80%.
 4. Participation by Subcontractor program personnel at Contractor s national learning activities.
 5. An annual report at the end of 2012 and 2013.
 ",,,,,,,,,,
CONT_AWD_HHSM500201200017C_7530_-NONE-_-NONE-,HHSM500201200017C,,98261240.00,2011-12-09,2012,075,Department of Health and Human Services (HHS),7530,CENTERS FOR MEDICARE AND MEDICAID SERVICES,00500,DEPT OF HHS/CMS,075,Department of Health and Human Services (HHS),7530,CENTERS FOR MEDICARE AND MEDICAID SERVICES,00500,DEPT OF HHS/CMS,,,172851412,HEALTH RESEARCH AND EDUCATIONAL TRUST,HEALTH RESEARCH AND EDUCATIONAL TRUST,051064566,AMERICAN HOSPITAL ASSOCIATION INC,USA,UNITED STATES,155 N WACKER DR STE 400,CHICAGO,IL,,606064425,07,,"Contracts and Grants,Nonprofit Organization",CHICAGO,IL,,606061725,07,USA,UNITED STATES,HOSPITAL ENGAGEMENT CONTRACTOR,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,sub-contract,2012,11,80298-IHI,252000.00,2012-02-14,2012,363459905,INSTITUTE FOR HEALTHCARE IMPROVEMENT,Ihi,363459905,INSTITUTE FOR HEALTHCARE IMPROVEMENT,USA,UNITED STATES,20 UNIVERSITY RD STE 7,Cambridge,MA,,021385815,08,,,,Chicago,IL,,021385815,08,USA,UNITED STATES,"Provide staff time for input into the design of the improvement strategies and activities for HRET. provide faculty time as subject matter experts for educational events suchs as webinars, conferences, collaboratives and other improvement activities. Subcontractor is required to provide monthly progress reports that identify the individuals performing work on behalf of subcontractor, the hours worked by each such individual during the previous month and a a statement of expenses incurred in eprformance of the work during teh prvious month and discuss the work completed during the previous month.",,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,8,7500100980,66854.00,2012-03-01,2012,138258038,"SAPPHIRE TECHNOLOGIES, LP",SAPPHIRE TECHNOLOGIES NORTH AMERICA,413860701,RANDSTAD HOLDING Nv,USA,UNITED STATES,"10 PRESIDENTIAL WAY, STE-101",WOBURN,MA,,018015118,07,,"Contracts and Grants,For-Profit Organization",,WOBURN,MA,,018011100,07,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,8,7500093300,319249.00,2011-06-29,2011,138258038,"SAPPHIRE TECHNOLOGIES, LP",SAPPHIRE TECHNOLOGIES NORTH AMERICA,413860701,RANDSTAD HOLDING Nv,USA,UNITED STATES,"10 PRESIDENTIAL WAY, STE-101",WOBURN,MA,,018015118,07,,"Contracts and Grants,For-Profit Organization",,WOBURN,MA,,018011100,07,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,8,7500130667,153500.00,2015-02-18,2015,602352924,"PARTNERS IN HEALTH, A NONPROFIT CORPORATION",,,,USA,UNITED STATES,888 COMMONWEALTH AVE 3RD FL,BOSTON,MA,,022151205,08,,"Grants,Nonprofit Organization",,BOSTON,MA,,022151205,08,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,8,7500102430,520743.00,2012-04-16,2012,602352924,"PARTNERS IN HEALTH, A NONPROFIT CORPORATION",,,,USA,UNITED STATES,888 COMMONWEALTH AVE 3RD FL,BOSTON,MA,,022151205,08,,"Grants,Nonprofit Organization",,BOSTON,MA,,022151205,08,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,8,7500093271,1262423.00,2011-06-29,2011,876443623,"PERCUSSION SOFTWARE, INC.",PERCUSSION,,,USA,UNITED STATES,300 UNICORN PARK DR,WOBURN,MA,,018013363,07,,"Contracts and Grants,For-Profit Organization,S Corporation",,WOBURN,MA,,018013376,07,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,10,7500093300,319249.00,2011-06-29,2011,138258038,"SAPPHIRE TECHNOLOGIES, LP",SAPPHIRE TECHNOLOGIES NORTH AMERICA,413860701,RANDSTAD HOLDING Nv,USA,UNITED STATES,"10 PRESIDENTIAL WAY, STE-101",WOBURN,MA,,018015118,07,,"Contracts and Grants,For-Profit Organization",,WOBURN,MA,,018011100,07,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,10,7500130667,153500.00,2015-02-18,2015,602352924,"PARTNERS IN HEALTH, A NONPROFIT CORPORATION",,,,USA,UNITED STATES,888 COMMONWEALTH AVE 3RD FL,BOSTON,MA,,022151205,08,,"Grants,Nonprofit Organization",,BOSTON,MA,,022151205,08,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
CONT_AWD_HHSD2002010372170002_7523_HHSD200201037217I_7523,HHSD2002010372170002,HHSD200201037217I,11897265.00,2011-05-02,2011,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075,Department of Health and Human Services (HHS),7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,00200,DEPT OF HHS/CENTERS FOR DISEASE CONTROL,075-2012/2012-0943-000;075-2012/2012-0949-000;075-2012/2012-0951-000;075-2012/2012-0955-000;075-2012/2012-0956-000;075-2013/2013-0949-000;075-2013/2013-0951-000;075-2013/2013-0956-000;075-2013/2013-0959-000,075-0943;075-0949;075-0951;075-0955;075-0956;075-0959,064681021,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,CIVILIAN AGENCIES,967356127,NORTHROP GRUMMAN CORPORATION,USA,UNITED STATES,7575 COLSHIRE DR,MCLEAN,VA,,221027508,08,,"Contracts and Grants,For-Profit Organization",McLean,GA,,303292206,05,USA,UNITED STATES,INFORMATION MANAGEMENT SERVICES FOR NCEZID,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2015,10,7500102430,520743.00,2012-04-16,2012,602352924,"PARTNERS IN HEALTH, A NONPROFIT CORPORATION",,,,USA,UNITED STATES,888 COMMONWEALTH AVE 3RD FL,BOSTON,MA,,022151205,08,,"Grants,Nonprofit Organization",,BOSTON,MA,,022151205,08,USA,UNITED STATES,Professional engineering services,,,,,,,,,,
